medicine,description_url,company,company_url,price
WISTRAN,//www.medicineindia.org/medicine-brand-details/8545/wistran,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,27.50
WARCILIN,//www.medicineindia.org/medicine-brand-details/3319/warcilin,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,32.80
WYMOX,//www.medicineindia.org/medicine-brand-details/3321/wymox,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,48.76
WOKEX -3,//www.medicineindia.org/medicine-brand-details/6287/wokex-3,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,10.40
WOKEX-4,//www.medicineindia.org/medicine-brand-details/6371/wokex-4,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,19.50
WOKEX-4 PLUS,//www.medicineindia.org/medicine-brand-details/6372/wokex-4-plus,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,25.00
WISFAST-A,//www.medicineindia.org/medicine-brand-details/13275/wisfast-a,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,40.00
WATERBURY`S COMPOUND,//www.medicineindia.org/medicine-brand-details/18272/waterburys-compound,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,69.00
WATERBURY`S COMPOUND,//www.medicineindia.org/medicine-brand-details/18272/waterburys-compound,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,97.00
WELSCAB,//www.medicineindia.org/medicine-brand-details/7228/welscab,Bliss Chemicals & Pharmaceuticals India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/196/bliss-chemicals-pharmaceuticals-india-ltd,24.00
WINZOLE-F,//www.medicineindia.org/medicine-brand-details/16314/winzole-f,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,28.00
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,82.00
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,44.00
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,131.58
WISAPROT,//www.medicineindia.org/medicine-brand-details/17266/wisaprot,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,99.00
WALYTE,//www.medicineindia.org/medicine-brand-details/14239/walyte,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,16.20
WALYTE,//www.medicineindia.org/medicine-brand-details/14239/walyte,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,4.55
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,28.00
WINOFIT,//www.medicineindia.org/medicine-brand-details/9062/winofit,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,45.00
WISRONE,//www.medicineindia.org/medicine-brand-details/15401/wisrone,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,90.00
WISRONE,//www.medicineindia.org/medicine-brand-details/15401/wisrone,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,175.00
WOKADINE GARGLE,//www.medicineindia.org/medicine-brand-details/16099/wokadine-gargle,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,37.90
WOKADINE GARGLE,//www.medicineindia.org/medicine-brand-details/16099/wokadine-gargle,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,22.44
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,55.00
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,132.00
WOKADINE SURGICAL SCRUB,//www.medicineindia.org/medicine-brand-details/16100/wokadine-surgical-scrub,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,244.80
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,66.30
WISFAST,//www.medicineindia.org/medicine-brand-details/13298/wisfast,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,35.00
WISOFLOX-M,//www.medicineindia.org/medicine-brand-details/14043/wisoflox-m,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,26.00
WISOFLOX-OZ,//www.medicineindia.org/medicine-brand-details/14164/wisoflox-oz,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,29.50
WYPAL,//www.medicineindia.org/medicine-brand-details/5998/wypal,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,60.00
